or_minutes,breakout_type,variant,month,trades,total_r,average_r,win_rate
30,CLOSE,30m CLOSE,2025-01,20,-0.15616744564113016,-0.007808372282056508,0.35
5,PRINT,5m PRINT,2025-02,17,4.0,0.23529411764705882,0.4117647058823529
5,CLOSE,5m CLOSE,2025-02,20,4.0,0.2,0.4
10,PRINT,10m PRINT,2025-02,19,11.0,0.5789473684210527,0.5263157894736842
10,CLOSE,10m CLOSE,2025-02,20,7.0,0.35,0.45
15,PRINT,15m PRINT,2025-02,20,13.73,0.6865,0.55
15,CLOSE,15m CLOSE,2025-02,20,7.688679245283019,0.38443396226415094,0.45
30,PRINT,30m PRINT,2025-02,20,2.170822287076928,0.10854111435384639,0.4
30,CLOSE,30m CLOSE,2025-02,20,-1.030431552404971,-0.051521577620248546,0.4
5,PRINT,5m PRINT,2025-03,14,-8.0,-0.5714285714285714,0.14285714285714285
5,CLOSE,5m CLOSE,2025-03,17,-8.0,-0.47058823529411764,0.17647058823529413
10,PRINT,10m PRINT,2025-03,16,2.0,0.125,0.375
10,CLOSE,10m CLOSE,2025-03,17,1.0,0.058823529411764705,0.35294117647058826
15,PRINT,15m PRINT,2025-03,16,5.0,0.3125,0.4375
15,CLOSE,15m CLOSE,2025-03,17,4.0,0.23529411764705882,0.4117647058823529
30,PRINT,30m PRINT,2025-03,17,4.513049183840169,0.26547348140236293,0.47058823529411764
30,CLOSE,30m CLOSE,2025-03,16,4.752635398674359,0.29703971241714744,0.5
5,PRINT,5m PRINT,2025-04,18,-3.0,-0.16666666666666666,0.2777777777777778
5,CLOSE,5m CLOSE,2025-04,21,3.0,0.14285714285714285,0.38095238095238093
10,PRINT,10m PRINT,2025-04,21,-6.0,-0.2857142857142857,0.23809523809523808
10,CLOSE,10m CLOSE,2025-04,21,-3.0,-0.14285714285714285,0.2857142857142857
15,PRINT,15m PRINT,2025-04,21,-3.0,-0.14285714285714285,0.2857142857142857
15,CLOSE,15m CLOSE,2025-04,21,4.403809523809524,0.20970521541950113,0.42857142857142855
30,PRINT,30m PRINT,2025-04,19,0.34636871508379885,0.01822993237283152,0.3684210526315789
30,CLOSE,30m CLOSE,2025-04,20,2.240137221269297,0.11200686106346484,0.4
5,PRINT,5m PRINT,2025-05,22,5.0,0.22727272727272727,0.4090909090909091
5,CLOSE,5m CLOSE,2025-05,22,-7.0,-0.3181818181818182,0.22727272727272727
10,PRINT,10m PRINT,2025-05,22,2.0,0.09090909090909091,0.36363636363636365
10,CLOSE,10m CLOSE,2025-05,22,-1.0,-0.045454545454545456,0.3181818181818182
15,PRINT,15m PRINT,2025-05,21,6.0,0.2857142857142857,0.42857142857142855
15,CLOSE,15m CLOSE,2025-05,22,-1.0,-0.045454545454545456,0.3181818181818182
30,PRINT,30m PRINT,2025-05,21,-1.5345524228289609,-0.07307392489661718,0.3333333333333333
