or_minutes,breakout_type,variant,executed_trades,wins,losses,flat_trades,session_end_exits,win_rate,average_r,median_r,total_r,profit_factor_r,max_drawdown_r,max_consecutive_losses,average_holding_minutes,long_trade_count,long_average_r,long_total_r,short_trade_count,short_average_r,short_total_r,vectorbt_trade_count,vectorbt_total_r,vectorbt_average_r,vectorbt_median_r,vectorbt_wins,vectorbt_losses,vectorbt_max_drawdown_r,vectorbt_cumulative_r_matches,crosscheck_passed
5,PRINT,5m PRINT,489,181,308,0,2,0.37014314928425357,0.10569802741048406,-1.0,51.68633540372671,1.167812777284827,21.0,13,15.920245398773005,257,0.06492737511177708,16.68633540372671,232,0.15086206896551724,35.0,489,51.68633540372671,0.10569802741048406,-1.0,181,308,21.0,True,True
5,CLOSE,5m CLOSE,521,186,335,0,6,0.3570057581573896,0.06742942061609991,-1.0,35.130728140988055,1.1054690881802849,24.0,11,26.232245681381958,258,0.06405230846065321,16.525495582848528,263,0.07074232911840127,18.605232558139534,521,35.130728140988055,0.06742942061609991,-1.0,186,335,24.0,True,True
10,PRINT,10m PRINT,516,194,322,0,7,0.375968992248062,0.11569953754298457,-1.0,59.70096137218003,1.1859362240830387,20.981918564527263,11,31.781007751937985,268,0.16474771036336108,44.15238637738077,248,0.06269586691451311,15.548574994799251,516,59.70096137218003,0.11569953754298457,-1.0,194,322,20.981918564527263,True,True
10,CLOSE,10m CLOSE,520,184,336,0,17,0.35384615384615387,0.040778847296416,-1.0,21.205000594136322,1.0638918998720934,34.45709383506633,12,48.54615384615385,257,0.05267474537820875,13.537409562199649,263,0.029154338524474042,7.667591031936674,520,21.205000594136322,0.040778847296416,-1.0,184,336,34.45709383506633,True,True
15,PRINT,15m PRINT,515,193,322,0,20,0.37475728155339805,0.09140039312305029,-1.0,47.0712024583709,1.1476375305705553,26.40890055191481,11,50.26796116504855,262,0.11030792218739052,28.90067561309632,253,0.07182026421057147,18.170526845274583,515,47.0712024583709,0.09140039312305029,-1.0,193,322,26.40890055191481,True,True
15,CLOSE,15m CLOSE,518,188,330,0,41,0.36293436293436293,0.031270377138210764,-1.0,16.198055357593176,1.0503306730212114,33.013692187960245,11,72.0926640926641,261,0.030427900050095727,7.9416819130749845,257,0.03212596671018751,8.256373444518191,518,16.198055357593176,0.031270377138210764,-1.0,188,330,33.013692187960245,True,True
30,PRINT,30m PRINT,501,196,305,0,70,0.3912175648702595,0.06620870194838063,-1.0,33.170559676138694,1.113258620713701,25.967685086115228,10,104.61477045908184,268,0.08968719529270916,24.036168338446053,233,0.039203396299110044,9.134391337692641,501,33.170559676138694,0.06620870194838063,-1.0,196,305,25.967685086115228,True,True
30,CLOSE,30m CLOSE,493,188,304,1,89,0.3813387423935091,0.01234648532488909,-1.0,6.086817265170321,1.0210825239974461,30.937037964123427,10,124.75456389452333,265,0.04593700623381795,12.173306651961756,228,-0.026695128889436103,-6.086489386791431,493,6.086817265170321,0.01234648532488909,-1.0,188,304,30.937037964123427,True,True
